report_link,sighting_dateTime,city,state_province,country,ufo_shape,report_summary,reported_dateTime,media,explanation
https://nuforc.org/sighting/?id=186995,2025-01-19 10:53:00,Brownfield,TX,USA,Cigar,Pulsing electric Blue like cigar shaped stationary UFO,01/19/2025,True,
https://nuforc.org/sighting/?id=186999,2025-01-19 07:30:00,Monticello,AR,USA,Triangle,Saw a triangle craft going south lights on each corner.,01/19/2025,False,
https://nuforc.org/sighting/?id=186974,2025-01-19 03:00:00,Port St. Lucie,FL,USA,Changing,"About 3am my daughter asleep , woke up with light blinding her while in bed from neighbor's house. Object quiet but above bamboo tree.",01/19/2025,False,
https://nuforc.org/sighting/?id=187121,2025-01-19 02:18:00,Cocoa Beach,FL,USA,Orb,Orange orbs circling Kennedy Space Center for over 30 minutes,01/23/2025,True,Chinese Lantern?
https://nuforc.org/sighting/?id=187005,2025-01-18 22:58:00,Chicago,IL,USA,Cylinder,Middle of night lights were out sky was grayish greenish,01/19/2025,False,
https://nuforc.org/sighting/?id=187603,2025-01-18 22:00:00,Freetown,MA,USA,Orb,Orbs that changed in freetown forest,02/08/2025,True,
https://nuforc.org/sighting/?id=187025,2025-01-18 21:27:00,Saint Marys,IA,USA,Triangle,3 lights making a triangle gateway allowing multiple crafts to pass or a cloaked ship,01/20/2025,False,
https://nuforc.org/sighting/?id=187254,2025-01-18 21:00:00,El Paso,TX,USA,Unknown,"Traveling lights appearing and disappearing all around the same area. Clear night, not a cloud in sight.",01/27/2025,True,Aircraft?
https://nuforc.org/sighting/?id=187140,2025-01-18 20:14:00,Kelso,Queensland,Australia,Circle,It was an extraterrestrial vehicle. Disc shape moving away from my neighbourhood as I filmed.,01/23/2025,True,
https://nuforc.org/sighting/?id=187907,2025-01-18 20:13:00,Kelso,Queensland,Australia,Circle,UFO over my house Townsville Australia 2025 January 18,02/23/2025,True,Drone?
https://nuforc.org/sighting/?id=187076,2025-01-18 18:15:00,Sunkarametta,Andhra Pradesh,India,Other,I was on a trip with my friends and we saw a flying object and took a picture of it,01/22/2025,True,
https://nuforc.org/sighting/?id=188025,2025-01-18 16:00:00,Wewahitchka,FL,USA,Cube,Both sightings occurred same day but not 1st time while flying drone. Cube inside clear orb stationary at 800’ land drone look up UAP,02/28/2025,False,
https://nuforc.org/sighting/?id=186996,2025-01-18 08:27:00,Mystras,,Greece,Cube,Inexplicable white object in the sky above a valley near Taygetus mountain range,01/19/2025,True,
https://nuforc.org/sighting/?id=186966,2025-01-18 06:45:00,Montpelier,IA,USA,Light,White and red light flying parallel to Mississippi River from East to West,01/18/2025,False,
https://nuforc.org/sighting/?id=187685,2025-01-18 02:32:00,Cancún,Quintana Roo,Mexico,Light,After observing for several minutes I filmed with my phone for about a minute,02/12/2025,True,
https://nuforc.org/sighting/?id=186970,2025-01-17 22:49:00,Pittsburgh,PA,USA,Disk,"Incredible bright light passing my home, upon zooming in with binoculars i noticed it was disk shaped.",01/18/2025,False,
https://nuforc.org/sighting/?id=187001,2025-01-17 22:00:00,,,International Waters,Unknown,"20 plus craft sighted at the rear of the ship heading to my right, visually they were shimmering green fluorescent looking.",01/20/2025,False,
https://nuforc.org/sighting/?id=186954,2025-01-17 21:42:00,Philadelphia,PA,USA,Cigar,"As I was out with my dog, I saw a light coming towards me. It was flying low. It seemed to go in a zigzag pattern. Nothing like a plane",01/17/2025,True,Drone?
https://nuforc.org/sighting/?id=186957,2025-01-17 21:28:00,Merrill,IA,USA,Triangle,"3 bright lights making a perfect triangle, faded away within a few seconds.",01/17/2025,False,
https://nuforc.org/sighting/?id=187053,2025-01-17 20:15:00,Berea,KY,USA,Triangle,My husband and I saw a V shaped UAP with lights,01/21/2025,True,
https://nuforc.org/sighting/?id=187004,2025-01-17 19:55:00,Mishawaka,IN,USA,Orb,3 of us witnessed from our car in a dark parking lot and then I opened the door to get a better look.,01/19/2025,True,
