Report Link,Sighting DateTime,City,State Province,Country,UFO Shape,Report Summary,Media,Explanation,location,latitude,longitude
https://nuforc.org/sighting/?id=188555,03/25/2025 23:24,Helen,GA,USA,Light,Lights appearing over hickorynut ridge started March 22,True,,"Helen, GA, USA",34.7009043,-83.7294546
https://nuforc.org/sighting/?id=188580,03/25/2025 23:12,Toledo,OH,USA,Changing,Noticed a bright colorful light. Once I focused on it with a camera I saw multiple points of light and an energetic haze.,True,,"Toledo, OH, USA",41.6529143,-83.5378173
https://nuforc.org/sighting/?id=188550,03/25/2025 22:50,Lander,WY,USA,Triangle,"Odd triangular shape, off-white, moving on a straight line at a uniform high speed, then took a slight turn and disappeared.",False,,"Lander, WY, USA",42.8330755,-108.730702
https://nuforc.org/sighting/?id=188544,03/25/2025 20:55,Nazareth,PA,USA,Orb,I saw a huge bright white light on the tree line. It was sitting still for approximately 10 minutes.,True,,"Nazareth, PA, USA",40.7423309,-75.3112095
https://nuforc.org/sighting/?id=188541,03/25/2025 20:44,Dundee,MI,USA,Other,"Appeared in the middle of the sky, extremely bright led like lights, flew to the right extremely fast until it disappeared. No sound",False,,"Dundee, MI, USA",41.9572676,-83.6596596
https://nuforc.org/sighting/?id=188543,03/25/2025 20:42,Petersburg,MI,USA,Light,Large LED light with green light on bottom flying through sky,False,,"Petersburg, MI, USA",41.9011578,-83.7149383
https://nuforc.org/sighting/?id=188540,03/25/2025 20:30,Mount Airy,NC,USA,Light,"Seen a light moving downward really fast, thought it was a shooting start but then it stopped and went to the right and then vanished",False,,"Mount Airy, NC, USA",36.4993877,-80.6072138
https://nuforc.org/sighting/?id=188563,03/25/2025 20:30,Hollywood,FL,USA,Rectangle,Video of pulsing blue recatngle.,True,Laser,"Hollywood, FL, USA",26.0112014,-80.1494901
https://nuforc.org/sighting/?id=188548,03/25/2025 20:10,Lafayette,CO,USA,Triangle,My wife and I saw 3 lights that appeared to form a large craft flying as we were driving.,False,,"Lafayette, CO, USA",39.9935959,-105.089705
https://nuforc.org/sighting/?id=188569,03/25/2025 10:56,Bluffdale,UT,USA,Sphere,Spherical shape shifting,True,Balloon,"Bluffdale, UT, USA",40.4898176,-111.939284
https://nuforc.org/sighting/?id=188554,03/25/2025 09:00,Bristol,NH,USA,Rectangle,Large craft flying low. Two set of lights parallel to each other.,False,,"Bristol, NH, USA",43.5912709,-71.7361557
https://nuforc.org/sighting/?id=188547,03/25/2025 08:00,Longmont,CO,USA,Sphere,"Perfect sphere hovering over Longmont, went east and out of sight line.",True,,"Longmont, CO, USA",40.1672117,-105.101928
https://nuforc.org/sighting/?id=188545,03/25/2025 07:52,Corona,CA,USA,Orb,Walked out to the back shed at work and noticed aa shining object in the sky.. it seamed to change shapes,True,,"Corona, CA, USA",33.8752945,-117.566444
https://nuforc.org/sighting/?id=188694,03/25/2025 00:00,Forest Grove,OR,USA,Other,I was walking home from the gym one night and I saw an unfamiliar flashing craft hovering in the sky.,True,Drone?,"Forest Grove, OR, USA",45.5190404,-123.1110551
https://nuforc.org/sighting/?id=188524,03/24/2025 23:24,Red Deer,AB,Canada,Triangle,Triangle shape appearance with the 3 points of the object each with a faint white light,False,,"Red Deer, AB, Canada",52.2690628,-113.8141464
https://nuforc.org/sighting/?id=188522,03/24/2025 22:40,Nampa,ID,USA,Chevron,V or chevron shaped flying object,False,,"Nampa, ID, USA",43.5737361,-116.559631
https://nuforc.org/sighting/?id=188535,03/24/2025 22:30,Lancaster,CA,USA,Changing,"Me and fiancé are runing a local ufo reporting and research group , 2nd sighting of craft in month same location..",True,,"Lancaster, CA, USA",34.6981064,-118.1366153
https://nuforc.org/sighting/?id=188521,03/24/2025 22:20,Boise,ID,USA,Triangle,I caught movement in the sky above me at about 10:20 PM,False,,"Boise, ID, USA",43.6166163,-116.200886
https://nuforc.org/sighting/?id=188520,03/24/2025 22:00,Mountain Home,ID,USA,Fireball,5 fireballs cross the sky,False,Meteor?,"Mountain Home, ID, USA",43.1329504,-115.691197
https://nuforc.org/sighting/?id=188503,03/24/2025 21:00,Heerlen,Limburg,Netherlands,Circle,Going really slowly.,True,Rocket,"Heerlen, Limburg, Netherlands",50.8775239,5.981506585454879
https://nuforc.org/sighting/?id=188508,03/24/2025 21:00,Kortenaken,Vlaams Gewest,Belgium,Rectangle,Wite Rectangle object with 2 connected dark green gray arms that moved it forward,True,Rocket,"Kortenaken, Vlaams Gewest, Belgium",50.90566935,5.068392495734988
https://nuforc.org/sighting/?id=188504,03/24/2025 20:13,Topsham,England,United Kingdom,Fireball,The night before the sighting my Wife and I woke to a boom and the windows shaking. Then the sighting was the night after .,True,Rocket,"Topsham, England, United Kingdom",50.6850732,-3.4658063
